haversine_km,euclidean_km,absolute_difference_km,percent_error
126.09757509716682,126.09551687796046,0.0020582192063614,0.0016322432884021767
126.49788483915465,126.49580695563162,0.002077883523028845,0.001642623136087159
126.89819458114248,126.89609690845141,0.002097672691064645,0.00165303588281024
127.29850432313032,127.29638673602477,0.0021175871055447715,0.0016634815285571293
127.69881406511816,127.69667643795664,0.0021376271615167752,0.0016739600732914586
128.099123807106,128.09696601385187,0.0021577932541276823,0.0016844715170549697
128.49943354909382,128.49725546331538,0.0021780857784392538,0.0016950158598225305
128.89974329108165,128.89754478595216,0.002198505129484829,0.0017055931015472702
129.30005303306947,129.29783398136703,0.002219051702439856,0.001716203242292806
129.7003627750573,129.69812304916496,0.002239725892337674,0.0017268462820124017
130.10067251704515,130.0984119889509,0.002260528094268466,0.0017375222207035882
130.50098225903298,130.49870080032966,0.0022814587033224143,0.001748231058363928
130.9012920010208,130.89898948290625,0.0023025181145612805,0.0017589727949693002
131.30160174300863,131.2992780362855,0.0023237067231320907,0.0017697474305608159
131.70191148499646,131.69956646007242,0.0023450249240397625,0.0017805549650711857
132.10222122698428,132.09985475387185,0.002366473112431322,0.0017913953985415098
132.5025309689721,132.50014291728874,0.0023880516833685306,0.0018022687309480424
132.90284071095996,132.90043094992802,0.0024097610319415708,0.0018131749622887086
133.3031504529478,133.30071885139458,0.0024316015532122037,0.001824114092540138
133.70346019493562,133.70100662129332,0.002453573642299034,0.0018350861217217547
134.10376993692344,134.10129425922918,0.0024756776942638226,0.0018460910498103618
134.50407967891127,134.50158176480707,0.0024979141041967523,0.0018571288768041711
134.9043894208991,134.90186913763193,0.0025202832671595843,0.0018681996026803465
135.30469916288695,135.30215637730865,0.0025427855782993447,0.001879303227479339
135.70500890487477,135.70244348344215,0.0025654214326209512,0.0018904397511364053
136.1053186468626,136.10273045563736,0.0025881912252430084,0.0019016091736710906
136.50562838885045,136.50301729349917,0.0026110953512841206,0.0019128114951027107
136.90593813083828,136.90330399663253,0.0026341342057492056,0.0019240467153673175
137.3062478728261,137.3035905646423,0.0026573081838137114,0.0019353148345259035
137.70655761481393,137.70387699713348,0.0026806176804541337,0.0019466158524942775
138.10686735680179,138.10416329371094,0.0027040630908459207,0.0019579497693332807
138.5071770987896,138.5044494539796,0.0027276448100224115,0.0019693165850004518
138.90748684077744,138.90473547754436,0.002751363233073789,0.0019807162994947393
139.30779658276526,139.30502136401017,0.0027752187550902363,0.001992148912815105
139.7081063247531,139.70530711298196,0.002799211771133514,0.002003614424940178
140.10841606674092,140.10559272406456,0.0028233426763506486,0.0020151128359096886
140.50872580872874,140.505878196863,0.0028476118657465577,0.002026644145661776
140.9090355507166,140.90616353098216,0.0028720197344398457,0.0020382083542159622
141.30934529270442,141.30644872602693,0.002896566677492274,0.002049805461551324
141.70965503469225,141.70673378160222,0.0029212530900224465,0.002061435467687285
142.10996477668007,142.107018697313,0.002946079367063703,0.002073098372583052
142.5102745186679,142.50730347276416,0.002971045903734648,0.00208479417625812
142.91058426065572,142.90758810756063,0.0029961530950970428,0.002096522878691991
143.31089400264358,143.3078726013073,0.0030214013362694914,0.002108284479904059
143.7112037446314,143.70815695360915,0.0030467910222569117,0.002120078979834396
144.11151348661923,144.10844116407102,0.00307232254820633,0.0021319063785223487
144.51182322860706,144.5087252322979,0.0030979963091510854,0.002143766675928158
144.91213297059488,144.9090091578947,0.003123812700181361,0.0021556598720517315
145.3124427125827,145.30929294046626,0.0031497721164441828,0.0021675859669320952
145.71275245457053,145.7095765796176,0.0031758749529444685,0.002179544960510319
146.1130621965584,146.10986007495362,0.003202121604772401,0.0021915368527864756
146.51337193854621,146.51014342607917,0.003228512467046585,0.0022035616437800346
146.91368168053404,146.91042663259924,0.003255047934800359,0.0022156193334522166
147.31399142252187,147.3107096941187,0.0032817284031523286,0.0022277099218225424
147.71430116450972,147.71099261024256,0.0033085542671642543,0.00223983340887184
148.11461090649755,148.11127538057562,0.003335525921926319,0.0022519897946003346
148.51492064848537,148.51155800472293,0.00336264376244344,0.0022641790789508353
148.91523039047323,148.91184048228934,0.003389908183891066,0.002276401261981282
149.31554013246105,149.31212281287972,0.0034173195813309576,0.002288656343672855
149.71584987444888,149.71240499609908,0.003444878349796454,0.0023009443239879516
150.1161596164367,150.1126870315523,0.00347258488440616,0.0023132652029461695
150.51646935842453,150.5129689188443,0.003500439580221837,0.0023256189805291325
150.91677910041236,150.91325065758002,0.003528442832333667,0.0023380056567374927
151.3170888424002,151.3135322473644,0.0035565950358034115,0.002350425231553111
151.71739858438804,151.71381368780231,0.0035848965857212534,0.0023628777049767746
